,Nr.,Kraj UE,Skrót,Koszt 1 godziny,"Miesięczne wynagrodzenie brutto, euro","Miesięczne wynagrodzenie brutto, złotych *"
0,1,Austria,AT,27.50 €,4'400.00 €,20'221.00 zł
1,2,Belgia,BE,32.00 €,5'120.00 €,23'529.00 zł
2,3,Bułgaria,BG,5.90 €,944.00 €,4'339.00 zł
3,4,Chorwacja,HR,9.60 €,1'536.00 €,7'059.00 zł
4,5,Cypr,CY,14.80 €,2'368.00 €,10'883.00 zł
5,6,Czechy,CZ,11.30 €,1'808.00 €,8'309.00 zł
6,7,Dania,DK,40.20 €,6'432.00 €,29'559.00 zł
7,8,Estonia,EE,10.80 €,1'728.00 €,7'942.00 zł
8,9,Finlandia,FI,28.90 €,4'624.00 €,21'250.00 zł
9,10,Francja,FR,25.70 €,4'112.00 €,18'897.00 zł
10,11,Grecja,GR,13.60 €,2'176.00 €,10'000.00 zł
11,12,Hiszpania,ES,17.00 €,2'720.00 €,12'500.00 zł
12,13,Holandia,NL,29.80 €,4'768.00 €,21'912.00 zł
13,14,Irlandia,IE,30.10 €,4'816.00 €,22'132.00 zł
14,15,Litwa,LT,10.90 €,1'744.00 €,8'015.00 zł
15,16,Luksemburg,LU,38.10 €,6'096.00 €,28'015.00 zł
16,17,Malta,MT,15.80 €,2'528.00 €,11'618.00 zł
17,18,Niemcy,DE,29.00 €,4'640.00 €,21'324.00 zł
18,19,Polska,PL,9.40 €,1'504.00 €,6'912.00 zł
19,20,Portugalia,PT,12.70 €,2'032.00 €,9'339.00 zł
20,21,Rumunia,RO,4.20 €,672.00 €,3'089.00 zł
21,22,Szwecja,SE,27.00 €,4'320.00 €,19'853.00 zł
22,23,Słowacja,SK,10.60 €,1'696.00 €,7'794.00 zł
23,24,Słowenia,SI,17.70 €,2'832.00 €,13'015.00 zł
24,25,Węgry,HU,8.40 €,1'344.00 €,6'177.00 zł
25,26,Włochy,IT,21.00 €,3'360.00 €,15'441.00 zł
26,27,Łotwa,LV,8.80 €,1'408.00 €,6'471.00 zł
