,Kraj,Benzyna (Euro 95),Benzyna (Euro 95),Oleju napędowego,Oleju napędowego,LPG,LPG
,Kraj,EUR,PLN,EUR,PLN,EUR,PLN
0,Polska,1604,7359,1552,7120,0792,3635
1,Albania,1944,8918,1960,8995,0706,3237
2,Andora,1731,7944,1604,7359,–,–
3,Austria,1832,8405,1832,8405,–,–
4,Białoruś,656,3011,656,3011,0356,1632
5,Belgia,1991,9136,2013,9234,0801,3673
6,Bośnia i Hercegowina,1660,7615,1847,8474,0852,3908
7,Bułgaria,1597,7329,1650,7568,0795,3647
8,Chorwacja,1852,8499,1830,8397,1052,4826
9,Cypr,1724,7910,1819,8346,–,–
10,Czechy,1893,8687,1884,8645,0844,3874
11,Dania,2464,11305,2113,9695,–,–
12,Estonia,2006,9204,1855,8512,0936,4292
13,Finlandia,2371,10878,2203,10109,–,–
14,Francja,1983,9097,1880,8627,0869,3989
15,Niemcy,2161,9917,2057,9439,1134,5202
16,Grecja,2285,10485,1868,8572,1128,5176
17,Węgry,1227,5629,1227,5629,0952,4369
18,Islandia,2329,10686,2283,10473,–,–
19,Irlandia,1946,8931,1942,8909,–,–
20,Włochy,1913,8777,1836,8422,0833,3823
21,Łotwa,1976,9067,1865,8555,0811,3720
22,Litwa,1956,8973,1745,8008,0826,3788
23,Luksemburg,1922,8820,1802,8269,0798,3660
24,Macedonia Północna,1547,7098,1401,6428,0830,3810
25,Malta,1344,6167,1214,5569,–,–
26,"Mołdawia, Republika",1530,7022,1340,6150,0821,3767
27,Holandia,2265,10391,1998,9166,1054,4835
28,Norwegia,2631,12070,2337,10720,–,–
29,Portugalia,2062,9460,1796,8239,0931,4271
30,Rumunia,1683,7722,1804,8277,0844,3874
31,Rosja,746,3421,763,3502,0322,1478
32,San Marino,1812,8316,1708,7837,0795,3647
33,Serbia,1571,7209,1761,8081,0925,4245
34,Słowacja,1854,8508,1782,8175,0879,4032
35,Słowenia,1566,7184,1674,7679,1003,4600
36,Hiszpania,1999,9170,1873,8593,1015,4655
37,Szwecja,2225,10208,2322,10652,1300,5967
38,Szwajcaria,2013,9234,2120,9725,1118,5129
39,Turcja,1427,6547,1393,6389,0658,3020
40,Ukraina,1600,7342,1776,8149,1287,5907
41,Wielka Brytania,2008,9213,2148,9857,0856,3929
