date,usd
2022-01-03,4.0424
2022-01-04,4.0468
2022-01-05,4.0396
2022-01-07,4.0279
2022-01-10,4.0064
2022-01-11,4.0106
2022-01-12,3.9879
2022-01-13,3.9463
2022-01-14,3.9597
2022-01-17,3.9567
2022-01-18,3.9734
2022-01-19,3.993
2022-01-20,3.9833
2022-01-21,3.9953
2022-01-24,4.0049
2022-01-25,4.0593
2022-01-26,4.0684
2022-01-27,4.083
2022-01-28,4.1048
2022-01-31,4.1147
2022-02-01,4.0689
2022-02-02,4.0283
2022-02-03,4.0267
2022-02-04,3.9657
2022-02-07,3.9872
2022-02-08,3.9693
2022-02-09,3.953
2022-02-10,3.9218
2022-02-11,3.9665
2022-02-14,4.0439
2022-02-15,3.974
2022-02-16,3.9478
2022-02-17,3.9687
2022-02-18,3.9798
2022-02-21,3.9769
2022-02-22,4.012
2022-02-23,3.9937
2022-02-24,4.1281
2022-02-25,4.1683
2022-02-28,4.1965
2022-03-01,4.2193
2022-03-02,4.3302
2022-03-03,4.3257
2022-03-04,4.391
2022-03-07,4.5722
2022-03-08,4.5115
2022-03-09,4.4147
2022-03-10,4.3482
2022-03-11,4.3694
2022-03-14,4.3221
2022-03-15,4.2992
2022-03-16,4.2828
2022-03-17,4.2403
2022-03-18,4.2707
2022-03-21,4.2444
2022-03-22,4.272
2022-03-23,4.2772
2022-03-24,4.331
2022-03-25,4.3125
2022-03-28,4.2784
2022-03-29,4.2917
2022-03-30,4.1688
2022-03-31,4.1801
2022-04-01,4.1978
2022-04-04,4.2073
2022-04-05,4.2233
2022-04-06,4.2606
2022-04-07,4.2727
2022-04-08,4.2703
2022-04-11,4.2586
2022-04-12,4.2926
2022-04-13,4.2872
2022-04-14,4.2581
2022-04-15,4.2865
2022-04-19,4.2887
2022-04-20,4.2708
2022-04-21,4.2596
2022-04-22,4.2935
2022-04-25,4.3188
2022-04-26,4.3469
2022-04-27,4.4453
2022-04-28,4.4613
2022-04-29,4.4072
2022-05-02,4.4454
2022-05-04,4.4456
2022-05-05,4.4017
2022-05-06,4.4502
2022-05-09,4.4784
2022-05-10,4.4223
2022-05-11,4.419
2022-05-12,4.4863
2022-05-13,4.4849
2022-05-16,4.4785
2022-05-17,4.4379
2022-05-18,4.4279
2022-05-19,4.4231
2022-05-20,4.3832
2022-05-23,4.3369
2022-05-24,4.3071
2022-05-25,4.3069
2022-05-26,4.3189
2022-05-27,4.2966
2022-05-30,4.2617
2022-05-31,4.2651
2022-06-01,4.2817
2022-06-02,4.2931
2022-06-03,4.2689
